"id","s","pseudost"
1,0.191136844878805,1.01304416949461
1,0.417950530102763,1.06827987202337
1,0.600923355679797,1.14499684397333
1,0.745703736406684,0.983044331821702
1,0.887686848451972,0.815410683495543
1,1.10778348154292,0.655088757454621
1,1.27749841876733,0.486634027652144
1,1.47729605235379,0.326224205066978
2,0.191136844878805,1.01304416949461
2,0.417950530102763,1.06827987202337
2,0.600923355679797,1.17506042752802
2,0.745703736406684,1.34162746303019
2,0.887686848451972,1.5338693834334
2,1.10778348154292,1.23228774018952
2,1.27749841876733,0.915407476331666
2,1.47729605235379,0.613660490860923
3,0.191136844878805,0.996438643008105
3,0.417950530102763,0.885510409510744
3,0.600923355679797,0.774079384988909
3,0.745703736406684,0.664590785379573
3,0.887686848451972,0.551261432479805
3,1.10778348154292,0.442875196689556
3,1.27749841876733,0.328990748596681
3,1.47729605235379,0.220545090020011
4,0.191136844878805,1.01304416949461
4,0.417950530102763,1.06827987202337
4,0.600923355679797,0.937705295388355
4,0.745703736406684,0.805072852735464
4,0.887686848451972,0.667787793350271
4,1.10778348154292,0.536490733618905
4,1.27749841876733,0.398533242294405
4,1.47729605235379,0.26716419891045
5,0.191136844878805,1.00657152886731
5,0.417950530102763,0.894515254886528
5,0.600923355679797,0.781951076948189
5,0.745703736406684,0.671349076638705
5,0.887686848451972,0.556867266028235
5,1.10778348154292,0.447378839587657
5,1.27749841876733,0.332336288964569
5,1.47729605235379,0.222787835461162
6,0.191136844878805,0.969644500937648
6,0.417950530102763,0.861699117281319
6,0.600923355679797,0.753264462604307
6,0.745703736406684,0.646720001215272
6,0.887686848451972,0.536438064033177
6,1.10778348154292,0.430966324003009
6,1.27749841876733,0.32014421808563
6,1.47729605235379,0.214614653142235
7,0.191136844878805,0.974470732246914
7,0.417950530102763,0.86598806983568
7,0.600923355679797,0.757013701144956
7,0.745703736406684,0.649938933839792
7,0.887686848451972,0.539108088127193
7,1.10778348154292,0.433111381458787
7,1.27749841876733,0.321737678418117
7,1.47729605235379,0.215682859023303
8,0.191136844878805,1.01304416949461
8,0.417950530102763,1.06827987202337
8,0.600923355679797,1.17506042752802
8,0.745703736406684,1.34162746303019
8,0.887686848451972,1.59479272042518
8,1.10778348154292,1.94758985837001
8,1.27749841876733,-1.81854890680751
8,1.47729605235379,-1.21909820889613
9,0.191136844878805,0.972844794296293
9,0.417950530102763,0.864543138940348
9,0.600923355679797,0.755750597733936
9,0.745703736406684,0.648854488362701
9,0.887686848451972,0.538208567730067
9,1.10778348154292,0.432388720214362
9,1.27749841876733,0.321200848029861
9,1.47729605235379,0.215322984750856
10,0.191136844878805,1.01304416949461
10,0.417950530102763,0.902221556552945
10,0.600923355679797,0.788687631584366
10,0.745703736406684,0.677132788520566
10,0.887686848451972,0.561664710361129
10,1.10778348154292,0.451233034670736
